web_scraper_order,web_scraper_start_url,container_url,type habits,prix,adresse,image_lien
"1766797453-54","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-4639600","Djellaba enfant","18 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4639600_uploaded_image1_1710311876.jpg)
background-image:url(https://images.coinafrique.com/thumb_4639600_uploaded_image2_1710311876.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4639600_uploaded_image3_1710311876.jpeg)"
"1766797462-55","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4686563","Vêtements enfants","1 500 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4686563_uploaded_image1_1712842706.jpg)"
"1766797479-56","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-4686576","Vêtements enfants","1 700 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4686576_uploaded_image1_1712842903.jpg)"
"1766797526-57","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4686597","Robe enfant","4 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4686597_uploaded_image1_1712843301.jpg)"
"1766797535-58","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4686601","Robe enfant","5 000 CFA","Parcelle Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4686601_uploaded_image1_1712843423.jpg)"
"1766797544-59","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfants-4643810","Ensemble  enfants","13 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4643810_uploaded_image1_1710528700.jpg)
background-image:url(https://images.coinafrique.com/thumb_4643810_uploaded_image2_1710528700.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4643810_uploaded_image3_1710528700.jpeg)"
"1766797555-60","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-4645145","Djellaba enfant","13 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4645145_uploaded_image1_1710608095.jpg)
background-image:url(https://images.coinafrique.com/thumb_4645145_uploaded_image2_1710608095.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4645145_uploaded_image3_1710608095.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4645145_uploaded_image4_1710608095.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4645145_uploaded_image5_1710608095.jpeg)"
"1766797563-61","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfant-4645364","Vetements enfant","10 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4645364_uploaded_image1_1710623336.jpg)
background-image:url(https://images.coinafrique.com/thumb_4645364_uploaded_image2_1710623337.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4645364_uploaded_image3_1710623337.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4645364_uploaded_image4_1710623337.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4645364_uploaded_image5_1710623337.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4645364_uploaded_image6_1710623337.jpeg)"
"1766797573-62","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-3-pieces-enfants-4651598","Ensemble 3 pièces  enfants","20 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4651598_uploaded_image1_1710949536.jpg)
background-image:url(https://images.coinafrique.com/thumb_4651598_uploaded_image2_1710949537.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4651598_uploaded_image3_1710949537.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4651598_uploaded_image4_1710949537.jpeg)"
"1766797582-63","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/djellaba-enfant-4651640","Djellaba enfant","6 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4651640_uploaded_image1_1710950622.jpg)"
"1766797591-64","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robe-turquie-enfants-4653806","Robe Turquie  enfants","7 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4653806_uploaded_image1_1711066086.jpg)
background-image:url(https://images.coinafrique.com/thumb_4653806_uploaded_image2_1711066087.jpeg)"
"1766797604-65","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/pantalons-enfant-4659691","Pantalons enfant","6 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4659691_uploaded_image1_1711411286.jpg)
background-image:url(https://images.coinafrique.com/thumb_4659691_uploaded_image2_1711411287.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659691_uploaded_image3_1711411287.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4659691_uploaded_image4_1711411287.jpeg)"
"1766797620-66","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfants-4659694","Ensemble pour enfants","5 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4659694_uploaded_image1_1711411367.jpg)
background-image:url(https://images.coinafrique.com/thumb_4659694_uploaded_image2_1711411368.jpeg)"
