web_scraper_order,web_scraper_start_url,container_urls,type habits,prix,adresse,image_lien
"1766788561-132","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/jeans-5548983","Jeans","9 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548983_uploaded_image1_1759170801.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548983_uploaded_image2_1759170802.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548983_uploaded_image3_1759170802.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548983_uploaded_image4_1759170802.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548983_uploaded_image5_1759170802.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548983_uploaded_image6_1759170802.jpeg)"
"1766788571-133","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/short-jeans-5549017","Short jeans","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5549017_uploaded_image1_1759172693.jpg)
background-image:url(https://images.coinafrique.com/thumb_5549017_uploaded_image2_1759172693.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549017_uploaded_image3_1759172693.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549017_uploaded_image4_1759172693.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549017_uploaded_image5_1759172693.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549017_uploaded_image6_1759172693.jpeg)"
"1766788581-134","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-unique-100-coton-5549028","T-shirts unique 100% coton","3 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5549028_uploaded_image1_1759173041.jpg)
background-image:url(https://images.coinafrique.com/thumb_5549028_uploaded_image2_1759173041.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549028_uploaded_image3_1759173041.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549028_uploaded_image4_1759173041.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549028_uploaded_image5_1759173041.jpeg)"
"1766788590-135","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-bas-large-5549025","Pantalon bas large","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5549025_uploaded_image1_1759172921.jpg)
background-image:url(https://images.coinafrique.com/thumb_5549025_uploaded_image2_1759172921.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549025_uploaded_image3_1759172921.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549025_uploaded_image4_1759172921.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549025_uploaded_image5_1759172921.jpeg)"
"1766788600-136","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/calecons-5549020","Caleçons","1 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5549020_uploaded_image1_1759172798.jpg)
background-image:url(https://images.coinafrique.com/thumb_5549020_uploaded_image2_1759172799.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549020_uploaded_image3_1759172799.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549020_uploaded_image4_1759172799.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5549020_uploaded_image5_1759172799.jpeg)"
"1766788611-137","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-100-coton-5555673","T-shirts 100% coton","6 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5555673_uploaded_image1_1759439295.jpg)
background-image:url(https://images.coinafrique.com/thumb_5555673_uploaded_image2_1759439295.jpeg)"
"1766788621-138","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-5569824","Ensemble short","8 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5569824_uploaded_image1_1760223295.jpg)
background-image:url(https://images.coinafrique.com/thumb_5569824_uploaded_image2_1760223296.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5569824_uploaded_image3_1760223296.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5569824_uploaded_image4_1760223296.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5569824_uploaded_image5_1760223296.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5569824_uploaded_image6_1760223296.jpeg)"
"1766788631-139","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-lacoste-5584603","T-shirt Lacoste","5 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5584603_uploaded_image1_1761052072.jpg)
background-image:url(https://images.coinafrique.com/thumb_5584603_uploaded_image2_1761052072.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5584603_uploaded_image3_1761052072.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5584603_uploaded_image4_1761052072.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5584603_uploaded_image5_1761052072.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5584603_uploaded_image6_1761052072.jpeg)"
"1766788642-140","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-bas-large-5550768","Pantalon bas large","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5550768_uploaded_image1_1759250295.jpg)
background-image:url(https://images.coinafrique.com/thumb_5550768_uploaded_image2_1759250296.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5550768_uploaded_image3_1759250296.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5550768_uploaded_image4_1759250296.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5550768_uploaded_image5_1759250296.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5550768_uploaded_image6_1759250296.jpeg)"
"1766788659-141","https://sn.coinafrique.com/categorie/vetements-homme?page=2","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5551999","Ensemble homme","12 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5551999_uploaded_image1_1759307137.jpg)
background-image:url(https://images.coinafrique.com/thumb_5551999_uploaded_image2_1759307138.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5551999_uploaded_image3_1759307138.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5551999_uploaded_image4_1759307138.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5551999_uploaded_image5_1759307138.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5551999_uploaded_image6_1759307138.jpeg)"
